latitude,type,name,longitude
39.2136,Load Node,COLUSA_6_N001,-122
39.2136,Load Node,COLUSA_6_N004,-122
37.9797,Load Node,RTRACK_1_N001,-120.41
33.3291,Load Node,MONSRATE_6_N001,-117.24
33.3291,Load Node,MONSRATE_6_N007,-117.24
39.0176,Load Node,ARBUCKLE_6_N001,-122.06
37.3633,Load Node,LIVNGSTN_6_N001,-120.76
32.8836,Load Node,UCM_6_N001,-117.22
32.8836,Load Node,UCM_6_N002,-117.22
32.8836,Load Node,UCM_6_N006,-117.22
32.8401,Load Node,LAJOLLA_6_N001,-117.28
32.8401,Load Node,LAJOLLA_6_N007,-117.28
32.8797,Load Node,GENESEE_6_N001,-117.21
32.8797,Load Node,GENESEE_6_N005,-117.21
32.8797,Load Node,GENESEE_6_N011,-117.21
32.8797,Load Node,GENESEE_6_N015,-117.21
33.3093,Load Node,PENDLETN_6_N001,-117.34
33.3093,Load Node,PENDLETN_6_N004,-117.34
33.2567,Load Node,STUART_6_N001,-117.42
37.72,Load Node,OWNBRKWY_1_N001,-122.22
32.8987,Load Node,TOREYPNS_6_N001,-117.24
32.8987,Load Node,TOREYPNS_6_N007,-117.24
32.8987,Load Node,TOREYPNS_6_N008,-117.24
32.8987,Load Node,TOREYPNS_6_N009,-117.24
38.7988,Load Node,DELMAR_6_N001,-121.22
32.9808,Load Node,DELMAR_6_N010,-117.26
32.9808,Load Node,DELMAR_6_N011,-117.26
36.5089,Load Node,GONZALES_6_N001,-121.45
36.5089,Load Node,GONZALES_6_N003,-121.45
33.1968,Load Node,OCEANSDE_6_N001,-117.38
33.1968,Load Node,OCEANSDE_6_N002,-117.38
37.83,Generation Node,HOLM1_7_B1,-119.99
37.86,Generation Node,HOLM2_7_B1,-120
37.77,Load Node,JENNY_1_N001,-122.26
37.77,Load Node,JENNY_1_N008,-122.26
37.7633,Load Node,STATINJ_1_N001,-122.21
37.7633,Load Node,STATINJ_1_N012,-122.21
37.77,Load Node,STATINJ_1_N027,-122.22
38.19,Generation Node,SNDBRJT_1_B1,-120.12
32.8445,Load Node,ROSECYN_6_N001,-117.24
32.8445,Load Node,ROSECYN_6_N017,-117.24
32.9015,Load Node,DUNHILL_6_N001,-117.23
38.09,Generation Node,CHSTN_115_B1,-120.3
38.09,Load Node,CHSTN_1_N001,-120.3
32.7954,Generation Node,ELCAJNGT_7_B3,-116.97
32.7954,Load Node,ELCAJNGT_7_N001,-116.97
32.894,Load Node,MIRAMAR_6_N001,-117.14
32.894,Load Node,MIRAMAR_6_N004,-117.14
32.894,Load Node,MIRAMAR_6_N017,-117.14
37.926,Load Node,BALFOUR_6_N001,-121.68
32.895,Load Node,FENTON_6_N001,-117.16
32.7954,Load Node,ELCAJNGT_7_N004,-116.97
37.7689,Load Node,RIVRBANK_1_N001,-120.91
37.7388,Load Node,EDES_1_N001,-122.19
37.7388,Load Node,EDES_1_N003,-122.19
32.894,Generation Node,MIRAMREF_7_B1,-117.14
32.885,Generation Node,EASTGATE_6_N004,-117.2
32.885,Load Node,EASTGATE_6_N101,-117.2
32.885,Load Node,EASTGATE_6_N201,-117.2
33.2522,Load Node,MOROHILL_6_N001,-117.3
38.24,Generation Node,DONNELLS_7_B1,-120.03
38.4806,Load Node,OLETA_6_N001,-120.84
38.4806,Load Node,OLETA_6_N003,-120.84
38.15,Generation Node,STANISLS_7_B1,-120.36
38.14,Generation Node,STANISLS_1_B1,-120.37
38.14,Load Node,STANISLS_1_N001,-120.37
32.8198,Load Node,KYOCERA_6_N001,-117.14
37.6224,Load Node,SNTHLNE_6_N001,-122.45
37.6224,Load Node,SNTHLNE_6_N002,-122.45
33.3559,Load Node,PALA_6_N001,-117.11
32.8296,Load Node,MESAHGTS_6_N001,-117.16
32.8296,Load Node,MESAHGTS_6_N007,-117.16
32.8296,Generation Node,MESAHGTS_6_N011,-117.16
32.8259,Load Node,CLAIRMNT_6_N001,-117.18
32.8259,Load Node,CLAIRMNT_6_N008,-117.18
37.7689,Load Node,RVRBANK_1_N001,-120.91
37.7689,Load Node,RVRBANK_1_N005,-120.91
33.0143,Load Node,RSNTAFE_6_N001,-117.2
33.0143,Load Node,RSNTAFE_6_N008,-117.2
33.0143,Load Node,RSNTAFE_6_N009,-117.2
38.5396,Load Node,FORTRSS_6_N001,-123.22
37.9687,Load Node,MORMON_6_N001,-121.19
38.6189,Load Node,PLAINFLD_6_N001,-121.79
37.4997,Load Node,SANCRLS_6_N001,-122.24
37.4997,Load Node,SANCRLS_6_N002,-122.24
37.4997,Load Node,SANCRLS_6_N004,-122.24
37.8634,Load Node,SAUSALTO_6_N001,-122.5
37.8634,Load Node,SAUSALTO_6_N002,-122.5
36.4683,Load Node,CAMPHORA_6_N001,-121.39
36.4683,Load Node,CAMPHORA_6_N003,-121.39
37.7,Load Node,DMTARSL_1_N001,-122.15
32.7074,Load Node,CABRILLO_6_N001,-117.25
32.7074,Load Node,CABRILLO_6_N004,-117.25
32.7074,Generation Node,CABRILLO_6_N011,-117.25
32.7992,Load Node,PACFCBCH_6_N001,-117.24
32.7992,Load Node,PACFCBCH_6_N004,-117.24
40.1026,Load Node,GRBRVLLE_6_N001,-123.79
32.7908,Load Node,MURRAY_6_N001,-117.02
32.7908,Load Node,MURRAY_6_N004,-117.02
32.7908,Load Node,MURRAY_6_N005,-117.02
32.7908,Load Node,MURRAY_6_N015,-117.02
40.8198,Load Node,RUSSRCH_6_N001,-123.83
37.4903,Load Node,REDWOOD_6_N002,-122.21
37.4903,Load Node,REDWOOD_6_N005,-122.21
37.4903,Load Node,REDWOOD_6_N006,-122.21
37.4903,Load Node,REDWOOD_6_N007,-122.21
37.4903,Load Node,REDWOOD_6_N001,-122.21
32.7951,Load Node,GARFIELD_6_N001,-117
39.06,Load Node,DAVIS_1_N001,-121.71
39.06,Load Node,DAVIS_1_N007,-121.71
39.06,Generation Node,DAVIS_1_N018,-121.71
39.06,Load Node,DAVIS_1_N012,-121.71
37.5946,Load Node,PACIFICA_6_N001,-122.49
37.5946,Load Node,PACIFICA_6_N003,-122.49
37.0551,Load Node,SNTARTA_6_N001,-120.63
33.0181,Load Node,CREELMAN_6_N004,-116.85
33.0181,Load Node,CREELMAN_6_N001,-116.85
33.0181,Load Node,CREELMAN_6_N014,-116.85
32.9111,Load Node,SCRIPPS_6_N001,-117.11
32.9111,Load Node,SCRIPPS_6_N008,-117.11
32.9111,Load Node,SCRIPPS_6_N013,-117.11
39.0693,Load Node,BARRY_6_N001,-121.69
36.7796,Load Node,SANLUSRY_6_N013,-120.73
36.7796,Load Node,SANLUSRY_6_N014,-120.73
36.7796,Load Node,SANLUSRY_6_N101,-120.73
36.8615,Load Node,SANLUSRY_6_N201,-120.78
37.43,Generation Node,STANDFD2_1_N011,-122.17
33.2472,Load Node,WARNERS_6_N001,-116.68
38.8293,Load Node,EAGLROCK_2_N001,-122.81
38.8293,Load Node,EAGLROCK_2_N012,-122.81
33.2859,Load Node,RINCON_6_N001,-116.96
38.4901,Load Node,RINCON_6_N008,-122.67
37.6917,Load Node,DALYCTY_1_N001,-122.46
37.6917,Load Node,DALYCTY_1_N005,-122.46
36.7489,Load Node,LAGUNITS_6_N001,-121.61
32.7954,Generation Node,CPELCAJN_7_B1,-116.97
33.1011,Load Node,BATIQTOS_1_N001,-117.25
33.1011,Load Node,BATIQTOS_1_N008,-117.25
33.1011,Load Node,BATIQTOS_1_N015,-117.25
38.3436,Load Node,SLMNCRK_6_N001,-123.04
37.6539,Load Node,ESTGRND_1_N001,-122.4
37.6539,Load Node,ESTGRND_1_N005,-122.4
37.6539,Load Node,ESTGRND_1_N009,-122.4
37.8558,Load Node,VALLYHM_1_N001,-120.94
37.8558,Generation Node,VALLYHM_1_N004,-120.94
33.1228,Load Node,PALOMAR_1_N001,-117.29
33.1228,Load Node,PALOMAR_1_N004,-117.29
33.1228,Load Node,PALOMAR_1_N013,-117.29
38.79,Load Node,BRKRSLG_1_N005,-121.55
33.1105,Load Node,SANTYSBL_6_N001,-116.67
37.8422,Load Node,AVENA_1_N001,-121.05
37.4772,Load Node,BLLEHVN_6_N001,-122.17
37.4772,Load Node,BLLEHVN_6_N002,-122.17
37.4772,Load Node,BLLEHVN_6_N004,-122.17
37.4772,Load Node,BLLEHVN_6_N006,-122.17
37.4772,Load Node,BLLEHVN_6_N007,-122.17
37.4772,Generation Node,BLLEHVN_6_N009,-122.17
38.9248,Load Node,DUNNIGAN_6_N001,-121.99
37.6917,Load Node,SERRMNTE_1_N011,-122.46
32.8652,Load Node,DESCANSO_6_N001,-116.63
36.7315,Load Node,GABILAN_6_N001,-121.61
33.1415,Load Node,SHADOWR_1_N001,-117.24
